 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,DP,Assembly,5,ewdd2p,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,DP,Assembly,5,ewdd2p,6,turn power cords,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,DP,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,DP,Assembly,5,ewdd1r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,1,DP,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,DP,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,DP,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,DP,Assembly,5,ewdd2r,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,recessed,2,DP,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,5,ewdd1s,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,5,ewdd1s,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,5,ewdd1s,3,plug 5x pc252 connectors to exit wires#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,5,ewdd1s,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,6,ewdlt1s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,6,ewdlt1s,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,6,ewdlt1s,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,1,DP,Assembly,6,ewdlt1s,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,5,ewdd2s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,5,ewdd2s,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,5,ewdd2s,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,5,ewdd2s,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,5,ewdd2s,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,6,ewdlt2s,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,6,ewdlt2s,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,6,ewdlt2s,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,6,ewdlt2s,4,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,surface,2,DP,Assembly,6,ewdlt2s,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,5,ewdd1w,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,5,ewdd1w,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,5,ewdd1w,3,plug 5x pc252 connectors to exit wires#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,5,ewdd1w,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,6,ewdlt1w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,6,ewdlt1w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,6,ewdlt1w,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,DP,Assembly,6,ewdlt1w,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,5,ewdd2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,5,ewdd2w,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,5,ewdd2w,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,5,ewdd2w,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,5,ewdd2w,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,6,ewdlt2w,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,6,ewdlt2w,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,6,ewdlt2w,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,6,ewdlt2w,4,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,DP,Assembly,6,ewdlt2w,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,DP,Assembly,5,ewdd1p,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,DP,Assembly,5,ewdd1p,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,DP,Assembly,5,ewdd1p,3,plug 5x pc252 connectors to exit wires#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,DP,Assembly,5,ewdd1p,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,1,DP,Assembly,5,ewdd1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,4,plug 5x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,pendant,2,DP,Assembly,5,ewdd2p,6,turn power cords,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,DP,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,DP,Assembly,5,ewdd1r,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,1,DP,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,DP,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,DP,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,DP,Assembly,5,ewdd2r,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,recessed,2,DP,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,5,ewdd1s,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,5,ewdd1s,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,5,ewdd1s,3,plug 5x pc252 connectors to exit wires#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,5,ewdd1s,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,6,ewdlt1s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,6,ewdlt1s,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,6,ewdlt1s,3,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,1,DP,Assembly,6,ewdlt1s,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,5,ewdd2s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,5,ewdd2s,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,5,ewdd2s,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,5,ewdd2s,4,plug 5x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,5,ewdd2s,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,6,ewdlt2s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,6,ewdlt2s,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,6,ewdlt2s,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,6,ewdlt2s,4,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,surface,2,DP,Assembly,6,ewdlt2s,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,5,ewdd1w,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,5,ewdd1w,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,5,ewdd1w,3,plug 5x pc252 connectors to exit wires#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,5,ewdd1w,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,6,ewdlt1w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,6,ewdlt1w,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,6,ewdlt1w,3,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,DP,Assembly,6,ewdlt1w,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,5,ewdd2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,5,ewdd2w,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,5,ewdd2w,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,5,ewdd2w,4,plug 5x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,5,ewdd2w,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,6,ewdlt2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,6,ewdlt2w,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,6,ewdlt2w,3,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,6,ewdlt2w,4,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,2,DP,Assembly,6,ewdlt2w,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,DP,Assembly,5,ewdd1p,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,DP,Assembly,5,ewdd1p,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,DP,Assembly,5,ewdd1p,3,plug 5x pc252 connectors to exit wires#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,DP,Assembly,5,ewdd1p,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,1,DP,Assembly,5,ewdd1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,pendant,2,DP,Assembly,5,ewdd2p,6,turn power cords,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,DP,Assembly,5,ewdd1r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,DP,Assembly,5,ewdd1r,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,1,DP,Assembly,5,ewdd1r,3,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,DP,Assembly,5,ewdd2r,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,DP,Assembly,5,ewdd2r,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,DP,Assembly,5,ewdd2r,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,recessed,2,DP,Assembly,5,ewdd2r,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,5,ewdd1s,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,5,ewdd1s,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,5,ewdd1s,3,plug 5x pc252 connectors to exit wires#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,5,ewdd1s,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,6,ewdlt1s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,6,ewdlt1s,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,6,ewdlt1s,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,1,DP,Assembly,6,ewdlt1s,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,5,ewdd2s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,5,ewdd2s,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,5,ewdd2s,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,5,ewdd2s,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,5,ewdd2s,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,6,ewdlt2s,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,6,ewdlt2s,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,6,ewdlt2s,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,6,ewdlt2s,4,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,surface,2,DP,Assembly,6,ewdlt2s,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,5,ewdd1w,1,bring exit wires to exit#1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,5,ewdd1w,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,5,ewdd1w,3,plug 5x pc252 connectors to exit wires#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,5,ewdd1w,4,plug power cord 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,6,ewdlt1w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,6,ewdlt1w,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,6,ewdlt1w,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,DP,Assembly,6,ewdlt1w,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,5,ewdd2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,5,ewdd2w,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,5,ewdd2w,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,5,ewdd2w,4,plug 5x pc252 connectors for continius row wires,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,5,ewdd2w,5,plug power cords 5 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,6,ewdlt2w,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,6,ewdlt2w,2,bring exit wires to exit#2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,6,ewdlt2w,3,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,6,ewdlt2w,4,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,2,DP,Assembly,6,ewdlt2w,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,LT,Assembly,6,ewdlt1p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,LT,Assembly,6,ewdlt1p,2,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,LT,Assembly,6,ewdlt1p,3,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,LT,Assembly,6,ewdlt1p,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,1,LT,Assembly,6,ewdlt1p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,LT,Assembly,6,ewdlt1p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,LT,Assembly,6,ewdlt1p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,LT,Assembly,6,ewdlt1p,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,LT,Assembly,6,ewdlt1p,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,1,LT,Assembly,6,ewdlt1p,5,turn power cord,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,LT,Assembly,6,ewdlt1p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,LT,Assembly,6,ewdlt1p,2,bring power wires for continious row,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,LT,Assembly,6,ewdlt1p,3,plug 6x pc252 connectors for continius row wires,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,LT,Assembly,6,ewdlt1p,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRM,wall,1,LT,Assembly,6,ewdlt1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,LT,Assembly,6,ewdlt1p,1,bring exit wires to exit#1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,LT,Assembly,6,ewdlt1p,2,bring power wires for continious row,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,LT,Assembly,6,ewdlt1p,3,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,LT,Assembly,6,ewdlt1p,4,plug power cord 6 wires to exit wires & screw to housing with plastic clamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,wall,1,LT,Assembly,6,ewdlt1p,5,turn power cord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,2,bring exit wires to exit#2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,3,bring power wires for continious row,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,4,plug 6x pc252 connectors for continius row wires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,5,plug power cords 6 wires to exit wires & screw to housing with plastic clamp,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,wall,2,LT,Assembly,6,ewdlt2p,6,turn power cords,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,wall,2,LT,Assembly,6,ewdlt2p,1,bring exit wires to exit#1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
